Dates,XLB US Equity PX_LAST,XLB US Equity PX_OPEN,XLB US Equity PX_HIGH,XLB US Equity PX_LOW,XLB US Equity PX_VOLUME,XLB US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLC US Equity PX_LAST,XLC US Equity PX_OPEN,XLC US Equity PX_HIGH,XLC US Equity PX_LOW,XLC US Equity PX_VOLUME,XLC US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLE US Equity PX_LAST,XLE US Equity PX_OPEN,XLE US Equity PX_HIGH,XLE US Equity PX_LOW,XLE US Equity PX_VOLUME,XLE US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLF US Equity PX_LAST,XLF US Equity PX_OPEN,XLF US Equity PX_HIGH,XLF US Equity PX_LOW,XLF US Equity PX_VOLUME,XLF US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLI US Equity PX_LAST,XLI US Equity PX_OPEN,XLI US Equity PX_HIGH,XLI US Equity PX_LOW,XLI US Equity PX_VOLUME,XLI US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLK US Equity PX_LAST,XLK US Equity PX_OPEN,XLK US Equity PX_HIGH,XLK US Equity PX_LOW,XLK US Equity PX_VOLUME,XLK US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLP US Equity PX_LAST,XLP US Equity PX_OPEN,XLP US Equity PX_HIGH,XLP US Equity PX_LOW,XLP US Equity PX_VOLUME,XLP US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLU US Equity PX_LAST,XLU US Equity PX_OPEN,XLU US Equity PX_HIGH,XLU US Equity PX_LOW,XLU US Equity PX_VOLUME,XLU US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLV US Equity PX_LAST,XLV US Equity PX_OPEN,XLV US Equity PX_HIGH,XLV US Equity PX_LOW,XLV US Equity PX_VOLUME,XLV US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLRE US Equity PX_LAST,XLRE US Equity PX_OPEN,XLRE US Equity PX_HIGH,XLRE US Equity PX_LOW,XLRE US Equity PX_VOLUME,XLRE US Equity TOT_RETURN_INDEX_GROSS_DVDS,XLY US Equity PX_LAST,XLY US Equity PX_OPEN,XLY US Equity PX_HIGH,XLY US Equity PX_LOW,XLY US Equity PX_VOLUME,XLY US Equity TOT_RETURN_INDEX_GROSS_DVDS,SPX Index PX_LAST,SPX Index PX_OPEN,SPX Index PX_HIGH,SPX Index PX_LOW,SPX Index PX_VOLUME,SPX Index TOT_RETURN_INDEX_GROSS_DVDS,VIX Index PX_LAST,VIX Index PX_OPEN,VIX Index PX_HIGH,VIX Index PX_LOW,VIX Index TOT_RETURN_INDEX_GROSS_DVDS,USGG10YR Index PX_LAST,USGG11YR Index PX_OPEN,USGG12YR Index PX_HIGH,USGG13YR Index PX_LOW,USGG14YR Index TOT_RETURN_INDEX_GROSS_DVDS,USGG2YR Index PX_LAST,USGG3YR Index PX_OPEN,USGG4YR Index PX_HIGH,USGG5YR Index PX_LOW,USGG6YR Index TOT_RETURN_INDEX_GROSS_DVDS,FDTR Index PX_LAST,CPI YOY Index PX_LAST,CPI YOY Index TOT_RETURN_INDEX_GROSS_DVDS,USURTOT Index PX_LAST,USURTOT Index TOT_RETURN_INDEX_GROSS_DVDS,VIX Index PX_LAST,VIX Index PX_OPEN,VIX Index PX_HIGH,VIX Index PX_LOW,VIX Index TOT_RETURN_INDEX_GROSS_DVDS,USGG10YR Index PX_LAST,USGG11YR Index PX_OPEN,USGG12YR Index PX_HIGH,USGG13YR Index PX_LOW,USGG14YR Index TOT_RETURN_INDEX_GROSS_DVDS,USGG2YR Index PX_LAST,USGG3YR Index PX_OPEN,USGG4YR Index PX_HIGH,USGG5YR Index PX_LOW,USGG6YR Index TOT_RETURN_INDEX_GROSS_DVDS,FDTR Index PX_LAST,FDTR Index TOT_RETURN_INDEX_GROSS_DVDS,CPI YOY Index PX_LAST,CPI YOY Index TOT_RETURN_INDEX_GROSS_DVDS,USURTOT Index PX_LAST,USURTOT Index TOT_RETURN_INDEX_GROSS_DVDS
2022/12/5,41.05,41.565,41.7275,40.985,9452488,69.2183,51.12,51.53,52.09,50.965,4033220,53.0824,43.815,45.6,45.78,43.44,51753838,77.7763,35.04,35.66,35.72,34.855,53401994,55.3596,100.62,101.4,101.52,100.44,11070756,152.8149,66.555,67.16,67.5375,66.115,11526568,87.1669,76.22,76.36,76.45,76,8633024,130.0635,35.315,35.245,35.45,35.18,22903052,78.9159,138.44,138.88,139.2,137.965,6921643,194.0236,38.31,38.61,38.82,38.23,7165476,48.7274,70.875,72.01,72.235,70.685,11579988,92.9197,3998.84,4052.02,4052.45,3984.49,589437350,6182.6046,20.75,20.3,21.29,19.78,20.75,3.5736,3.5153,3.6103,3.4987,3.5736,4.3874,4.3048,4.4144,4.29,4.3874,4,7.1,7.1,3.6,3.6,20.75,20.3,21.29,19.78,20.75,3.5736,3.5153,3.6103,3.4987,3.5736,4.3874,4.3048,4.4144,4.29,4.3874,4,4,7.1,7.1,3.6,3.6
2022/12/6,40.685,41.075,41.325,40.3875,9495612,68.6028,49.65,50.95,51.02,49.4726,5810986,51.5559,42.66,43.54,44.065,42.365,64930220,75.7261,34.73,35,35.1963,34.45,45102232,54.8698,99.43,100.85,100.9,98.675,8854732,151.0076,65.13,66.485,66.585,64.71,11799696,85.3006,75.75,76.3,76.59,75.38,8136329,129.2615,35.535,35.265,35.555,35.1305,25649538,79.4076,137.39,138.18,138.62,136.7145,8171529,192.552,38.02,38.39,38.46,37.84,5249529,48.3586,69.77,70.67,70.975,69.165,7899852,91.471,3941.26,3996.63,4001.51,3918.39,645745573,6093.8147,22.17,20.69,22.6,20.38,22.17,3.5314,3.5828,3.6028,3.5059,3.5314,4.3664,4.3895,4.408,4.3373,4.3664,4,7.1,7.1,3.6,3.6,22.17,20.69,22.6,20.38,22.17,3.5314,3.5828,3.6028,3.5059,3.5314,4.3664,4.3895,4.408,4.3373,4.3664,4,4,7.1,7.1,3.6,3.6
2022/12/7,40.595,40.62,40.995,40.495,8167208,68.4511,49.4,49.51,49.8,49.1,4700897,51.2963,42.56,42.65,43.21,42.185,48894176,75.5486,34.59,34.59,34.975,34.51,37775859,54.6487,99.3,99.25,100,99.11,7173701,150.8102,64.8,64.895,65.3,64.335,10413890,84.8684,76.07,75.89,76.23,75.75,7298685,129.8075,35.37,35.565,35.805,35.24,28297926,79.0388,138.52,137.39,138.915,137.35,7427063,194.1357,38.1,37.9,38.505,37.84,6159838,48.4603,69.35,69.295,70.09,69.08,10852620,90.9203,3933.92,3933.28,3957.57,3922.68,630212851,6082.6006,22.68,22.32,23.01,22.18,22.68,3.4169,3.5369,3.555,3.4006,3.4169,4.2561,4.3706,4.3768,4.2333,4.2561,4,7.1,7.1,3.6,3.6,22.68,22.32,23.01,22.18,22.68,3.4169,3.5369,3.555,3.4006,3.4169,4.2561,4.3706,4.3768,4.2333,4.2561,4,4,7.1,7.1,3.6,3.6
2022/12/8,40.895,40.86,41.105,40.7625,5523788,68.9569,49.3,49.63,49.76,49.14,5180760,51.1925,42.37,43.515,43.61,42.1325,51280724,75.2113,34.62,34.69,34.86,34.502,46600862,54.6961,99.89,99.66,100.5,99.53,6462406,151.7063,65.86,65.16,66.05,64.77,8965786,86.2566,76.48,75.95,76.485,75.85,7803383,130.5072,35.6,35.375,35.73,35.245,19920116,79.5528,139.77,138.76,139.93,138.49,6765133,195.8876,38.38,38.23,38.685,38.12,4460961,48.8165,70.02,69.465,70.285,69.135,6407018,91.7987,3963.51,3947.79,3974.19,3935.83,582572156,6129.2275,22.29,22.81,23.28,22.06,22.29,3.4819,3.4295,3.5038,3.4295,3.4819,4.3077,4.2686,4.3243,4.264,4.3077,4,7.1,7.1,3.6,3.6,22.29,22.81,23.28,22.06,22.29,3.4819,3.4295,3.5038,3.4295,3.4819,4.3077,4.2686,4.3243,4.264,4.3077,4,4,7.1,7.1,3.6,3.6
2022/12/9,40.49,40.795,41.145,40.48,7872386,68.274,49.44,49.29,49.98,49.0401,6324987,51.3379,41.34,42.235,42.7,41.325,48097886,73.3829,34.53,34.49,34.7799,34.48,40885648,54.5539,99.07,99.84,100.26,99.04,7208049,150.4609,65.455,65.565,66.375,65.21,10402948,85.7262,75.89,76.11,76.44,75.88,9761718,129.5004,35.415,35.475,35.725,35.38,23837274,79.1394,137.98,139.58,140,137.94,6202991,193.3789,38.3,38.27,38.715,38.16,6077035,48.7147,69.715,69.595,70.4075,69.485,7218476,91.3989,3934.38,3954.17,3977.02,3933.04,581894582,6084.4425,22.83,22.55,23.21,22.18,22.83,3.5783,3.4874,3.5912,3.4506,3.5783,4.3443,4.3139,4.3464,4.2483,4.3443,4,7.1,7.1,3.6,3.6,22.83,22.55,23.21,22.18,22.83,3.5783,3.4874,3.5912,3.4506,3.5783,4.3443,4.3139,4.3464,4.2483,4.3443,4,4,7.1,7.1,3.6,3.6
2022/12/12,40.84,40.515,40.85,40.37,6386110,68.8642,49.83,49.44,49.84,49.09,5129671,51.7428,42.425,41.575,42.525,41.4125,42184848,75.3089,34.99,34.55,35.03,34.39,72570892,55.2806,100.77,99.3,100.8,99.22,7043316,153.0427,66.885,65.56,66.885,65.54,14806196,87.5991,76.69,76.03,76.7,75.79,6996833,130.8655,36.225,35.605,36.235,35.4725,22763830,80.9495,139.45,138.07,139.45,138.07,5669673,195.4391,38.62,38.34,38.64,37.98,4945103,49.1217,69.89,69.57,69.89,69.115,6545582,91.6283,3990.56,3939.29,3990.71,3935.3,618637066,6171.3563,25,24.4,25.05,24.18,25,3.6113,3.5838,3.626,3.5178,3.6113,4.3754,4.3589,4.4068,4.3168,4.3754,4,7.1,7.1,3.6,3.6,25,24.4,25.05,24.18,25,3.6113,3.5838,3.626,3.5178,3.6113,4.3754,4.3589,4.4068,4.3168,4.3754,4,4,7.1,7.1,3.6,3.6
2022/12/13,41.405,42.1,42.18,41.11,12576062,69.8169,50.67,51.65,52.07,50.3,9909660,52.6151,43.23,43.25,43.59,42.8875,54557376,76.7379,35.08,35.9,35.9,34.845,55659034,55.4228,101.15,103.23,103.31,100.405,17589507,153.6199,67.675,69.32,69.6663,66.99,18607506,88.6337,76.58,77.45,77.62,76.1,11349134,130.6778,36.335,36.735,36.895,35.9375,27388420,81.1953,139.88,141.35,141.77,138.91,9886543,196.0418,39.47,39.82,40,38.99,10763834,50.2029,69.89,72.21,72.66,69.135,10744204,91.6283,4019.65,4069.38,4100.96,3993.03,899986278,6216.5839,22.55,25.24,25.84,21.46,22.55,3.5012,3.6039,3.6111,3.4123,3.5012,4.2183,4.3796,4.3857,4.1327,4.2183,4,7.1,7.1,3.6,3.6,22.55,25.24,25.84,21.46,22.55,3.5012,3.6039,3.6111,3.4123,3.5012,4.2183,4.3796,4.3857,4.1327,4.2183,4,4,7.1,7.1,3.6,3.6
2022/12/14,40.96,41.235,41.5,40.6451,15635206,69.0665,50.01,50,50.84,49.47,10321562,51.9297,42.965,43.525,43.68,42.58,52675510,76.2675,34.64,34.99,35.33,34.49,54685076,54.7277,100.96,101.27,102.28,100.38,10428901,153.3313,67.105,67.61,68.4,66.32,19540956,87.8872,76.53,76.7,77.27,76.08,13820240,130.5925,36.29,36.46,36.8475,36.025,26637446,81.0947,140.1,139.82,141.28,138.92,10882243,196.3501,39.09,39.42,39.9095,38.935,10786503,49.7196,69.37,69.745,70.32,68.59,10903702,90.9466,3995.32,4015.54,4053.76,3965.65,750666785,6179.995,21.14,22.83,23.47,21.07,21.14,3.4774,3.4975,3.5559,3.4574,3.4774,4.2095,4.2204,4.3078,4.1593,4.2095,4.5,7.1,7.1,3.6,3.6,21.14,22.83,23.47,21.07,21.14,3.4774,3.4975,3.5559,3.4574,3.4774,4.2095,4.2204,4.3078,4.1593,4.2095,4.5,4.5,7.1,7.1,3.6,3.6
2022/12/15,39.71,40.265,40.305,39.61,10458590,66.9588,48.06,49.11,49.3,47.84,9817271,49.9049,42.705,42.59,42.805,41.98,40415090,75.8059,33.96,34.1,34.24,33.735,70334043,53.6533,98.52,99.6,100.045,98.01,11588870,149.6256,64.595,66.005,66.25,64.35,19226176,84.5999,75.23,75.89,76.04,74.665,11281678,128.3741,35.85,36.15,36.21,35.68,26308586,80.1115,137.53,138.85,139.2,137.04,8747994,192.7482,38.64,38.59,38.99,38.4,6033249,49.1472,68.23,68.295,68.625,67.725,11949600,89.452,3895.75,3958.37,3958.37,3879.45,794832028,6026.2353,22.83,21.52,23.67,21.25,22.83,3.4463,3.4919,3.5191,3.4264,3.4463,4.2362,4.2283,4.274,4.1923,4.2362,4.5,7.1,7.1,3.6,3.6,22.83,21.52,23.67,21.25,22.83,3.4463,3.4919,3.5191,3.4264,3.4463,4.2362,4.2283,4.274,4.1923,4.2362,4.5,4.5,7.1,7.1,3.6,3.6
2022/12/16,39.54,39.395,39.66,39.15,14570520,66.6721,48.05,48.15,48.49,47.77,8563454,49.8945,42.18,41.9,42.38,41.605,59101050,74.874,33.7,33.6,33.8001,33.3943,59619437,53.2426,98.1,97.59,98.305,97.135,17357140,148.9877,63.74,64.375,64.755,63.415,23999244,83.4801,74.86,74.84,75.1,74.21,14561475,127.7428,35.24,35.58,35.58,34.8,39263414,78.7483,135.53,136.49,136.58,134.78,10843898,189.9452,37.5,38.12,38.14,37.1235,8016236,47.6972,66.955,67.84,68.105,66.605,13371750,87.7804,3852.36,3890.91,3890.91,3827.91,2480939005,5959.5641,22.62,23.26,23.83,22.09,22.62,3.4822,3.4609,3.5553,3.4554,3.4822,4.1783,4.2425,4.2981,4.1531,4.1783,4.5,7.1,7.1,3.6,3.6,22.62,23.26,23.83,22.09,22.62,3.4822,3.4609,3.5553,3.4554,3.4822,4.1783,4.2425,4.2981,4.1531,4.1783,4.5,4.5,7.1,7.1,3.6,3.6
